,Глубина отбора,CH4 (ПИД),CH4 (ДТП-1),Гелий,CO2 (ДТП-2),N2 (ДТП-2),O2 (ДТП-2),C2H6 (ДТП-1),C4H10 (ДТП-1),neo-C5H12 (ПИД),n-C5H12 (ПИД),C6H14 (ПИД),C4H6 (ПИД),i-C5H12 (ПИД),1-C4H8 (ПИД),C3H8 (ПИД),i-C4H10 (ПИД),C4H10 (ПИД),C3H4 (ПИД),C3H6 (ПИД),C2H4 (ПИД),C2H6 (ПИД)
Глубина отбора,1.0,0.8085955324231511,0.7989375289764243,0.10547641124316288,0.7562974226734266,-0.3781920229973897,-0.34389517065555875,0.11433849439340804,-0.02764257128352147,-0.024978214796088163,0.21230684387967105,-0.11611664827449628,0.2993362281039795,-0.10735540247634258,0.0319821638845836,-0.02310717029664438,0.12302718533525692,0.0014083980735486628,0.1914861827303709,0.1011885858999336,0.3914957726114749,0.5977066246642294
CH4 (ПИД),0.8085955324231511,1.0,0.9896419911351299,0.1945192318921211,0.7620495367301268,-0.48800959181332293,-0.5168740895251636,0.06643387231897963,0.23474489210207114,0.2571512800926417,0.5805760576438608,0.0018980613894450111,0.4585019224256974,-0.03629417465681342,0.04016192719791245,0.32675169564954953,0.4213291459422425,0.3490629720714559,0.35288142968836195,0.049362379689219305,0.5304026673193798,0.7553797564175921
CH4 (ДТП-1),0.7989375289764243,0.9896419911351299,1.0,0.15954081085160424,0.8224515135411401,-0.46308749147644535,-0.5190540328838492,0.09625244721941112,0.20983345595639838,0.22730471783224934,0.5411547468609026,-0.01884053404229763,0.51503412739608,-0.04016446013848335,0.026304183131131628,0.321146937593355,0.45798845854672854,0.34616690139051015,0.4065646224093841,0.07542629289377246,0.5412263270103648,0.7998211704462322
Гелий,0.10547641124316288,0.1945192318921211,0.15954081085160424,1.0,-0.2412402342337986,-0.5680771295244974,-0.43238398104860354,0.013828518546007373,-0.050946373558492374,-0.027031241033630526,0.19134527369687288,0.17472120295290405,-0.05323743846368852,-0.16831342395836918,-0.15559617816016685,-0.17787262413361643,0.2149497830050017,-0.2434937337538033,0.4385675797993766,-0.1961276154021746,-0.21092534787630932,-0.14033510105108546
CO2 (ДТП-2),0.7562974226734266,0.7620495367301268,0.8224515135411401,-0.2412402342337986,1.0,-0.08472650428221046,-0.2641371199926049,-0.0376354160481653,0.047194413885749714,0.03682670502901294,0.2277415211973808,-0.27023343329574123,0.44442461989457643,0.0944593308076414,-0.04561262575252364,0.21135218916110798,0.24366752267491285,0.2457254561127799,0.19502395878910672,0.16751636080851984,0.42285172999376086,0.7992669363098596
N2 (ДТП-2),-0.3781920229973897,-0.48800959181332293,-0.46308749147644535,-0.5680771295244974,-0.08472650428221046,1.0,0.8150421525106455,-0.31431175003597095,-0.1277476812184017,-0.1639296597812485,-0.37904275834485585,-0.47327192967451515,-0.32392078423429554,0.36590958541825097,-0.15040428942618614,-0.017014506473735345,-0.5994591686064558,-0.017996028088535197,-0.6318655637658089,-0.23679143477963832,-0.4269310657026044,-0.24582369771451423
O2 (ДТП-2),-0.34389517065555875,-0.5168740895251636,-0.5190540328838492,-0.43238398104860354,-0.2641371199926049,0.8150421525106455,1.0,-0.16141875145422185,-0.0838052794956526,-0.11681105763433859,-0.36980354717018654,-0.11735585194561998,-0.3391449841540988,0.019629470757776456,-0.20043426150283553,-0.13654640978505186,-0.6125736704994958,-0.13978993018157346,-0.5100941051993436,-0.25766778640221033,-0.4768580656006647,-0.36901959018365305
C2H6 (ДТП-1),0.11433849439340804,0.06643387231897963,0.09625244721941112,0.013828518546007373,-0.0376354160481653,-0.31431175003597095,-0.16141875145422185,1.0,0.11654998885445347,0.14483069822246783,-0.0566284767823495,0.5166137869212617,0.5426737330654159,-0.40371896540200863,0.6691847664042923,0.014216633889692777,0.5387593966434028,0.14700863865058442,0.5308316662094907,0.5061081219391531,0.5509170984296323,0.19729178521883253
C4H10 (ДТП-1),-0.02764257128352147,0.23474489210207114,0.20983345595639838,-0.050946373558492374,0.047194413885749714,-0.1277476812184017,-0.0838052794956526,0.11654998885445347,1.0,0.9955342665129262,-0.098494707158861,0.6827876894426647,-0.11652021339561669,0.5773240594762424,0.08285513057757632,0.9323799369627354,0.5284286657537776,0.9058079938353829,0.19754163195984242,0.13566159012533913,0.2721069830069762,0.017839000973791035
neo-C5H12 (ПИД),-0.024978214796088163,0.2571512800926417,0.22730471783224934,-0.027031241033630526,0.03682670502901294,-0.1639296597812485,-0.11681105763433859,0.14483069822246783,0.9955342665129262,1.0,-0.04054495666192593,0.6966577534292373,-0.085401554057926,0.5456395866177589,0.15318046901730104,0.9258069639546483,0.5652150034259786,0.9143427361196956,0.22004336333740168,0.17987826086812506,0.3126180291928965,0.05245633331329476
n-C5H12 (ПИД),0.21230684387967105,0.5805760576438608,0.5411547468609026,0.19134527369687288,0.2277415211973808,-0.37904275834485585,-0.36980354717018654,-0.0566284767823495,-0.098494707158861,-0.04054495666192593,1.0,-0.15799596432123025,0.578834170398976,-0.4055089735624279,0.17541123941601616,0.016128991931104626,0.28439566267840233,0.07937372769159051,0.189640060896253,0.040283709524226,0.22835060779036154,0.4535519592936199
C6H14 (ПИД),-0.11611664827449628,0.0018980613894450111,-0.01884053404229763,0.17472120295290405,-0.27023343329574123,-0.47327192967451515,-0.11735585194561998,0.5166137869212617,0.6827876894426647,0.6966577534292373,-0.15799596432123025,1.0,-0.024199832821130536,-0.0611896757409787,0.26334077732806377,0.4368551484221402,0.5570795175408326,0.45241943349370983,0.4243364412765329,0.2852109439648102,0.36074745060629243,-0.11984329117153929
C4H6 (ПИД),0.2993362281039795,0.4585019224256974,0.51503412739608,-0.05323743846368852,0.44442461989457643,-0.32392078423429554,-0.3391449841540988,0.5426737330654159,-0.11652021339561669,-0.085401554057926,0.578834170398976,-0.024199832821130536,1.0,-0.48436884547700965,0.37928436341433164,1.6849449915592403e-05,0.6063133281669756,0.1205106270404804,0.62040854665831,0.42525425547473317,0.37363137428880977,0.5865137755975979
i-C5H12 (ПИД),-0.10735540247634258,-0.03629417465681342,-0.04016446013848335,-0.16831342395836918,0.0944593308076414,0.36590958541825097,0.019629470757776456,-0.40371896540200863,0.5773240594762424,0.5456395866177589,-0.4055089735624279,-0.0611896757409787,-0.48436884547700965,1.0,-0.1825165222838166,0.6738851132572058,0.01488992950443558,0.5942699261103759,-0.23394477467344266,-0.10275795795722735,-0.128597689306311,-0.11083388256382598
1-C4H8 (ПИД),0.0319821638845836,0.04016192719791245,0.026304183131131628,-0.15559617816016685,-0.04561262575252364,-0.15040428942618614,-0.20043426150283553,0.6691847664042923,0.08285513057757632,0.15318046901730104,0.17541123941601616,0.26334077732806377,0.37928436341433164,-0.1825165222838166,1.0,0.0334736536799981,0.43952781805351193,0.23669178785826744,0.1763971009218253,0.6815655844290732,0.6180365021056369,0.317147507260125
C3H8 (ПИД),-0.02310717029664438,0.32675169564954953,0.321146937593355,-0.17787262413361643,0.21135218916110798,-0.017014506473735345,-0.13654640978505186,0.014216633889692777,0.9323799369627354,0.9258069639546483,0.016128991931104626,0.4368551484221402,1.6849449915592403e-05,0.6738851132572058,0.0334736536799981,1.0,0.5261292182697674,0.9748194852873118,0.1752364400340474,0.11704190511744675,0.2930910216380018,0.17543114448312405
i-C4H10 (ПИД),0.12302718533525692,0.4213291459422425,0.45798845854672854,0.2149497830050017,0.24366752267491285,-0.5994591686064558,-0.6125736704994958,0.5387593966434028,0.5284286657537776,0.5652150034259786,0.28439566267840233,0.5570795175408326,0.6063133281669756,0.01488992950443558,0.43952781805351193,0.5261292182697674,1.0,0.6016178002570947,0.8352838404412248,0.529614121780593,0.5200563516713754,0.45789294281196136
C4H10 (ПИД),0.0014083980735486628,0.3490629720714559,0.34616690139051015,-0.2434937337538033,0.2457254561127799,-0.017996028088535197,-0.13978993018157346,0.14700863865058442,0.9058079938353829,0.9143427361196956,0.07937372769159051,0.45241943349370983,0.1205106270404804,0.5942699261103759,0.23669178785826744,0.9748194852873118,0.6016178002570947,1.0,0.21510062697539423,0.2703534582425944,0.4158666838283159,0.2868527559965106
C3H4 (ПИД),0.1914861827303709,0.35288142968836195,0.4065646224093841,0.4385675797993766,0.19502395878910672,-0.6318655637658089,-0.5100941051993436,0.5308316662094907,0.19754163195984242,0.22004336333740168,0.189640060896253,0.4243364412765329,0.62040854665831,-0.23394477467344266,0.1763971009218253,0.1752364400340474,0.8352838404412248,0.21510062697539423,1.0,0.3357526459069624,0.26004361470800413,0.4141290608561402
C3H6 (ПИД),0.1011885858999336,0.049362379689219305,0.07542629289377246,-0.1961276154021746,0.16751636080851984,-0.23679143477963832,-0.25766778640221033,0.5061081219391531,0.13566159012533913,0.17987826086812506,0.040283709524226,0.2852109439648102,0.42525425547473317,-0.10275795795722735,0.6815655844290732,0.11704190511744675,0.529614121780593,0.2703534582425944,0.3357526459069624,1.0,0.39192764239478095,0.24424286809957696
C2H4 (ПИД),0.3914957726114749,0.5304026673193798,0.5412263270103648,-0.21092534787630932,0.42285172999376086,-0.4269310657026044,-0.4768580656006647,0.5509170984296323,0.2721069830069762,0.3126180291928965,0.22835060779036154,0.36074745060629243,0.37363137428880977,-0.128597689306311,0.6180365021056369,0.2930910216380018,0.5200563516713754,0.4158666838283159,0.26004361470800413,0.39192764239478095,1.0,0.6738944063951842
C2H6 (ПИД),0.5977066246642294,0.7553797564175921,0.7998211704462322,-0.14033510105108546,0.7992669363098596,-0.24582369771451423,-0.36901959018365305,0.19729178521883253,0.017839000973791035,0.05245633331329476,0.4535519592936199,-0.11984329117153929,0.5865137755975979,-0.11083388256382598,0.317147507260125,0.17543114448312405,0.45789294281196136,0.2868527559965106,0.4141290608561402,0.24424286809957696,0.6738944063951842,1.0
